TECH,VSTEP,TSTEP,Esim for all outputs
MOSFET_16nm_HP,0.1,1e-14,89.7877%,92.3211%
MOSFET_16nm_HP,0.1,1e-13,89.7923%,92.3343%
MOSFET_16nm_HP,0.1,1e-12,failed
MOSFET_16nm_HP,0.05,1e-14,95.2096%,96.0559%
MOSFET_16nm_HP,0.05,1e-13,95.2015%,96.1644%
MOSFET_16nm_HP,0.05,1e-12,failed
MOSFET_16nm_LP,0.1,1e-14,82.2825%,80.3105%
MOSFET_16nm_LP,0.1,1e-13,87.3376%,83.9049%
MOSFET_16nm_LP,0.1,1e-12,87.3638%,84.2973%
MOSFET_16nm_LP,0.05,1e-14,92.4622%,92.5836%
MOSFET_16nm_LP,0.05,1e-13,92.4490%,92.5630%
MOSFET_16nm_LP,0.05,1e-12,92.4832%,92.7374%
